Eid,FallPas,CowYr,CowNo,CowBrd,Type1,Origin,SireYr,SireNo,Damno,SrvSirBrd,SrvSirNo,Project,FallDate,FallWt,FallDisp,FallHgtTp,FallHgtLz,FallBCS1,FallBCS2,Preg,FallComment,WinDate,WinWt,WinDisp,WinBCS1,WinBCS2,SprDate,SprWt,SprBCS1,SprBCS2,SumDate,SumWt,SumDisp,SumBCS1,SumBCS2,CullReason,Herd,Wt0113,CowwtBr
982000201903805,13,2011,114,An,AngSm,HIL,,,,Rd,1028,IGOS-E,11-4-2013,891,3,47,48.16,5,5.5,P,,,,,,,,,,,,,,,,,,977,946
,WSH,2001,120,An,AngSm,Florida,,95204,98081,,,Ang-Flush,,,,,,,,,,,,,,,,,,,,,,,,,,,
840003008063826,12,2010,125,An,AngLg,Rais-Lg,,6112,824,An,6025,IGOS-W,11-7-2013,1438,1,53,55.34,6,5,P,,,,,,,,,,,,,,,,,,1261,1210
840003008063813,13,2011,134,RdAxAn,AngSm,Florida,,763,253,Rd,1028,IGOS-E,11-4-2013,924,2,52,51.54,4.5,4.5,P,,,,,,,,,,,,,,,,,,,1120
982000170699624,9,2011,136,An,AngSm,HIL,,,,Rd,1008,IGOS-W,11-21-2013,1445,4,52.5,53.8,5,5.5,P,,,,,,,,,,,,,,,,,,1260,1130
840003008063818,9,2011,137,RdAxAn,AngSm,Florida,,763,11,Rd,1028,IGOS-W,11-4-2013,936,3,48,49.59,5,5.5,O,,,,,,,,,,,,,,,,,,1028,1060
840003008064162,13,2011,138,An,AngSm,HIL,,,,Rd,1008,IGOS-E,11-21-2013,1296,,44,52.59,5.5,6.5,P,YT 913,,,,,,,,,,,,,,,,,997,1100
840003008063816,13,2011,148,RdAxAn,AngSm,Florida,,763,97,Rd,1039,IGOS-E,11-4-2013,1124,5,50,59.44,6,6,P,,,,,,,,,,,,,,,,,,,1090
982000201903710,13,2011,157,An,AngSm,HIL,,,,Rd,1028,IGOS-E,11-4-2013,1037,3,48.5,50.09,5.5,5,P,,,,,,,,,,,,,,,,,,1048,1060
982000201903815,13,2011,158,An,AngSm,HIL,,,,Rd,1028,IGOS-E,11-4-2013,898,1,49,48.76,5,5,P,,,,,,,,,,,,,,,,,,976,976
982000201903707,13,2011,163,An,AngSm,HIL,,,,Rd,1028,IGOS-E,11-4-2013,963,4,48.5,51.3,5,5,P,,,,,,,,,,,,,,,,,,1050,1070
982000201903690,9,2011,164,An,AngSm,HIL,,,,Rd,1028,IGOS-W,11-4-2013,1144,6,47,49.35,6.5,6.5,P,,,,,,,,,,,,,,,,,,1004,1135
840003008063810,13,2011,166,RdAxAn,AngSm,Florida,,763,334,Rd,1028,IGOS-E,11-4-2013,974,2,50,49.54,5.5,5.5,P,,,,,,,,,,,,,,,,,,1120,1065
982000201903685,9,2011,170,An,AngSm,HIL,,,,Rd,1028,IGOS-W,11-4-2013,907,2,49,49.5,4.5,5,P,,,,,,,,,,,,,,,,,,999,1040
840003008064158,13,2011,172,RdAxAn,AngSm,Florida,,763,38,Rd,1008,IGOS-E,11-21-2013,1223,2,49,50.11,6.5,6,P,,,,,,,,,,,,,,,,,,994,1025
982000201903788,9,2011,178,An,AngSm,HIL,,,,Rd,1028,IGOS-W,11-4-2013,956,5,48,48.51,5,5,P,,,,,,,,,,,,,,,,,,927,958
840003008063819,13,2011,185,RdAxAn,AngSm,Florida,,763,164,Rd,1028,IGOS-E,11-4-2013,1109,2,50,51.37,6.5,6,O,,,,,,,,,,,,,,,,,,991,1110
840003008063807,9,2011,191,RdAxAn,AngSm,Florida,,763,155,Rd,1028,IGOS-W,11-4-2013,930,1,46,50.71,5,5,P,Eye spot,,,,,,,,,,,,,,,,,1020,1040
982000201903790,9,2011,196,An,AngSm,HIL,,,,Rd,1028,IGOS-W,11-4-2013,858,2,51,50.13,4,4,P,,,,,,,,,,,,,,,,,,907,948
982000201903791,13,2011,199,An,AngSm,HIL,,,,Rd,1028,IGOS-E,11-4-2013,908,3,47,48.46,5,5,P,,,,,,,,,,,,,,,,,,962,984
840003008063957,12,2008,208,An,AngLg,Frey,,14904066,13272285,An,6040,IGOS-W,11-5-2013,1790,2,55.5,56.63,7,6.5,P,,,,,,,,,,,,,,,,,,,1836
840003008063814,13,2011,225,RdAxAn,AngSm,Florida,,763,229,Rd,1028,IGOS-E,11-4-2013,881,2,47,48.98,5.5,4.5,P,,,,,,,,,,,,,,,,,,1001,1050
840003008063811,13,2011,260,RdAxAn,AngSm,Florida,,763,324,Rd,1028,IGOS-E,11-4-2013,999,1,48,50.13,5.5,5.5,P,,,,,,,,,,,,,,,,,,1089,1120
840003008063965,12,2003,317,An,AngSm,Florida,,95204,95099,An,6056,IGOS-W,11-5-2013,1091,1,48,48.23,4.5,4.5,P,,,,,,,,,,,,,,,,,,1276,1162
